
Time;controllerPos_x;controllerPos_y;controllerPos_z;PenToggleOn
4/11/2025 2:30:38 PM;-1.163961;1.198709;2.148822;False
4/11/2025 2:30:38 PM;-1.163099;1.198696;2.14847;False
4/11/2025 2:30:38 PM;-1.162195;1.198767;2.147849;False
4/11/2025 2:30:38 PM;-1.161515;1.198812;2.147168;False
4/11/2025 2:30:38 PM;-1.16114;1.198959;2.146313;False
4/11/2025 2:30:38 PM;-1.160892;1.199144;2.145455;False
4/11/2025 2:30:38 PM;-1.160507;1.199226;2.144695;False
4/11/2025 2:30:38 PM;-1.160003;1.199246;2.143686;False
4/11/2025 2:30:38 PM;-1.159469;1.199342;2.142998;False
4/11/2025 2:30:38 PM;-1.158972;1.199464;2.142362;False
4/11/2025 2:30:38 PM;-1.158087;1.199633;2.141805;False
4/11/2025 2:30:38 PM;-1.157423;1.199875;2.141332;False
4/11/2025 2:30:38 PM;-1.156638;1.200388;2.141175;False
4/11/2025 2:30:38 PM;-1.155771;1.201047;2.140804;False
4/11/2025 2:30:38 PM;-1.154661;1.201745;2.140725;False
4/11/2025 2:30:38 PM;-1.152889;1.202401;2.140908;False
4/11/2025 2:30:38 PM;-1.15136;1.203046;2.14129;False
4/11/2025 2:30:38 PM;-1.149363;1.203653;2.141863;False
4/11/2025 2:30:38 PM;-1.14715;1.204113;2.142864;False
4/11/2025 2:30:38 PM;-1.144795;1.20455;2.144038;False
4/11/2025 2:30:38 PM;-1.142344;1.205005;2.145129;False
4/11/2025 2:30:38 PM;-1.13953;1.205099;2.146555;False
4/11/2025 2:30:38 PM;-1.136978;1.205299;2.147882;False
4/11/2025 2:30:38 PM;-1.133584;1.205421;2.149446;False
4/11/2025 2:30:38 PM;-1.130066;1.205664;2.150804;False
4/11/2025 2:30:38 PM;-1.125945;1.205912;2.152465;False
4/11/2025 2:30:38 PM;-1.121704;1.205974;2.153988;False
4/11/2025 2:30:38 PM;-1.117271;1.206215;2.15589;False
4/11/2025 2:30:38 PM;-1.112178;1.206557;2.157863;False
4/11/2025 2:30:38 PM;-1.107212;1.206822;2.15982;False
4/11/2025 2:30:38 PM;-1.101631;1.207366;2.161911;False
4/11/2025 2:30:38 PM;-1.096046;1.207952;2.163958;False
4/11/2025 2:30:38 PM;-1.08964;1.208824;2.166132;False
4/11/2025 2:30:38 PM;-1.083301;1.20954;2.168488;False
4/11/2025 2:30:38 PM;-1.076977;1.210155;2.170612;False
4/11/2025 2:30:38 PM;-1.070519;1.210731;2.172643;False
4/11/2025 2:30:38 PM;-1.063897;1.211169;2.17471;False
4/11/2025 2:30:38 PM;-1.057135;1.211445;2.176745;False
4/11/2025 2:30:38 PM;-1.050186;1.211744;2.178889;False
4/11/2025 2:30:38 PM;-1.043432;1.211883;2.180952;False
4/11/2025 2:30:38 PM;-1.036653;1.212125;2.182945;False
4/11/2025 2:30:38 PM;-1.029812;1.212295;2.184707;False
4/11/2025 2:30:38 PM;-1.0228;1.212747;2.186503;False
4/11/2025 2:30:38 PM;-1.015751;1.213137;2.188034;False
4/11/2025 2:30:38 PM;-1.008848;1.213674;2.189668;False
4/11/2025 2:30:38 PM;-1.001587;1.214144;2.190913;False
4/11/2025 2:30:38 PM;-0.9945493;1.214777;2.192422;False
4/11/2025 2:30:38 PM;-0.98737;1.215474;2.193598;False
4/11/2025 2:30:38 PM;-0.9803157;1.216115;2.194494;False
4/11/2025 2:30:38 PM;-0.973083;1.216702;2.195264;False
4/11/2025 2:30:38 PM;-0.9661751;1.217415;2.195983;False
4/11/2025 2:30:38 PM;-0.9591761;1.218123;2.196294;False
4/11/2025 2:30:38 PM;-0.9524274;1.218924;2.196685;False
4/11/2025 2:30:38 PM;-0.9457111;1.219645;2.196891;False
4/11/2025 2:30:39 PM;-0.9389353;1.220295;2.197103;False
4/11/2025 2:30:39 PM;-0.9322839;1.220863;2.197028;False
4/11/2025 2:30:39 PM;-0.925704;1.221378;2.196764;False
4/11/2025 2:30:39 PM;-0.9193578;1.221691;2.196453;False
4/11/2025 2:30:39 PM;-0.9130025;1.222005;2.196091;False
4/11/2025 2:30:39 PM;-0.9070101;1.222196;2.195314;False
4/11/2025 2:30:39 PM;-0.9010558;1.222441;2.193962;False
4/11/2025 2:30:39 PM;-0.895164;1.2226;2.192442;False
4/11/2025 2:30:39 PM;-0.8894639;1.222631;2.190488;False
4/11/2025 2:30:39 PM;-0.8837838;1.222692;2.188755;False
4/11/2025 2:30:39 PM;-0.8787088;1.222571;2.186575;False
4/11/2025 2:30:39 PM;-0.8734245;1.222344;2.184296;False
4/11/2025 2:30:39 PM;-0.8687963;1.221851;2.181935;False
4/11/2025 2:30:39 PM;-0.8640037;1.221406;2.179631;False
4/11/2025 2:30:39 PM;-0.8592463;1.220834;2.17731;False
4/11/2025 2:30:39 PM;-0.8542857;1.220165;2.17469;False
4/11/2025 2:30:39 PM;-0.8494987;1.219419;2.172607;False
4/11/2025 2:30:39 PM;-0.844944;1.218544;2.170794;False
4/11/2025 2:30:39 PM;-0.8402848;1.217751;2.168958;False
4/11/2025 2:30:39 PM;-0.8357158;1.216614;2.167497;False
4/11/2025 2:30:39 PM;-0.8307238;1.215526;2.166097;False
4/11/2025 2:30:39 PM;-0.8255429;1.214388;2.165216;False
4/11/2025 2:30:39 PM;-0.8197007;1.212993;2.164205;False
4/11/2025 2:30:39 PM;-0.8139668;1.211673;2.163336;False
4/11/2025 2:30:39 PM;-0.8078413;1.210145;2.162302;False
4/11/2025 2:30:39 PM;-0.8015685;1.208678;2.161448;False
4/11/2025 2:30:39 PM;-0.795526;1.207328;2.160683;False
4/11/2025 2:30:39 PM;-0.7897568;1.205838;2.160102;False
4/11/2025 2:30:39 PM;-0.7841349;1.204316;2.159182;False
4/11/2025 2:30:39 PM;-0.7785068;1.202621;2.158092;False
4/11/2025 2:30:39 PM;-0.7728486;1.200915;2.157054;False
4/11/2025 2:30:39 PM;-0.7663965;1.19898;2.155727;False
4/11/2025 2:30:39 PM;-0.7602887;1.19715;2.154761;False
4/11/2025 2:30:39 PM;-0.7543769;1.195386;2.153699;False
4/11/2025 2:30:39 PM;-0.7487707;1.193703;2.152659;False
4/11/2025 2:30:39 PM;-0.7428789;1.192557;2.151548;False
4/11/2025 2:30:39 PM;-0.7368779;1.191216;2.150209;False
4/11/2025 2:30:39 PM;-0.7307472;1.190023;2.148769;False
4/11/2025 2:30:39 PM;-0.7251654;1.189106;2.147509;False
4/11/2025 2:30:39 PM;-0.7191529;1.188322;2.146059;False
4/11/2025 2:30:39 PM;-0.7134824;1.187759;2.144737;False
4/11/2025 2:30:39 PM;-0.7078223;1.187169;2.143281;False
4/11/2025 2:30:39 PM;-0.7023487;1.186808;2.141772;False
4/11/2025 2:30:39 PM;-0.697412;1.186422;2.140148;False
4/11/2025 2:30:39 PM;-0.6929207;1.185945;2.138576;False
4/11/2025 2:30:39 PM;-0.6883187;1.185639;2.136872;False
4/11/2025 2:30:39 PM;-0.6840091;1.185314;2.135374;False
4/11/2025 2:30:39 PM;-0.6796956;1.185132;2.133656;False
4/11/2025 2:30:39 PM;-0.6758347;1.185044;2.132235;False
4/11/2025 2:30:39 PM;-0.6718364;1.184876;2.130694;False
4/11/2025 2:30:39 PM;-0.6678309;1.184811;2.129219;False
4/11/2025 2:30:39 PM;-0.6636071;1.184601;2.127964;False
4/11/2025 2:30:39 PM;-0.6594973;1.184278;2.127011;False
4/11/2025 2:30:39 PM;-0.6550703;1.183636;2.126083;False
4/11/2025 2:30:39 PM;-0.6506648;1.182887;2.12534;False
4/11/2025 2:30:39 PM;-0.6464019;1.181807;2.124847;False
4/11/2025 2:30:39 PM;-0.6423268;1.180522;2.124247;False
4/11/2025 2:30:39 PM;-0.6385007;1.178952;2.12382;False
4/11/2025 2:30:39 PM;-0.6348324;1.177231;2.123259;False
4/11/2025 2:30:39 PM;-0.6312704;1.17549;2.123002;False
4/11/2025 2:30:39 PM;-0.6281199;1.173251;2.122646;False
4/11/2025 2:30:39 PM;-0.6254067;1.170636;2.122283;False
4/11/2025 2:30:39 PM;-0.6229997;1.167926;2.121978;False
4/11/2025 2:30:39 PM;-0.6208587;1.164913;2.121723;False
4/11/2025 2:30:39 PM;-0.6189952;1.161432;2.121252;False
4/11/2025 2:30:39 PM;-0.6172304;1.157955;2.120783;False
4/11/2025 2:30:39 PM;-0.6159139;1.154207;2.120448;False
4/11/2025 2:30:39 PM;-0.6145816;1.150828;2.120043;False
4/11/2025 2:30:39 PM;-0.6134882;1.147039;2.119534;False
4/11/2025 2:30:39 PM;-0.6120901;1.143472;2.119287;False
4/11/2025 2:30:39 PM;-0.6106544;1.139917;2.118877;False
4/11/2025 2:30:39 PM;-0.609241;1.13642;2.118309;False
4/11/2025 2:30:39 PM;-0.6077285;1.133201;2.117751;False
4/11/2025 2:30:39 PM;-0.6062479;1.13029;2.117023;False
4/11/2025 2:30:39 PM;-0.6051574;1.127434;2.116197;False
4/11/2025 2:30:39 PM;-0.6036024;1.124967;2.115234;False
4/11/2025 2:30:39 PM;-0.6019917;1.12223;2.114376;False
4/11/2025 2:30:39 PM;-0.6001611;1.11969;2.113487;False
4/11/2025 2:30:39 PM;-0.5984654;1.117279;2.112744;False
4/11/2025 2:30:39 PM;-0.5968881;1.115314;2.11202;False
4/11/2025 2:30:39 PM;-0.5951853;1.113717;2.111257;False
4/11/2025 2:30:39 PM;-0.5934262;1.112103;2.110604;False
4/11/2025 2:30:39 PM;-0.591506;1.110882;2.109915;False
4/11/2025 2:30:39 PM;-0.5893054;1.109884;2.109561;False
4/11/2025 2:30:39 PM;-0.5866046;1.109089;2.109247;False
4/11/2025 2:30:39 PM;-0.5836763;1.108276;2.108944;False
4/11/2025 2:30:39 PM;-0.5800786;1.107914;2.108666;False
4/11/2025 2:30:39 PM;-0.5763364;1.107772;2.108375;False
4/11/2025 2:30:39 PM;-0.5725784;1.107732;2.107831;False
4/11/2025 2:30:39 PM;-0.568831;1.107908;2.107311;False
4/11/2025 2:30:40 PM;-0.5652204;1.108019;2.106771;False
4/11/2025 2:30:40 PM;-0.5613732;1.108063;2.106023;False
4/11/2025 2:30:40 PM;-0.5578499;1.108205;2.105431;False
4/11/2025 2:30:40 PM;-0.5548587;1.108128;2.104683;False
4/11/2025 2:30:40 PM;-0.5519304;1.107952;2.103905;False
4/11/2025 2:30:40 PM;-0.549233;1.107693;2.103137;False
4/11/2025 2:30:40 PM;-0.5470695;1.107292;2.102404;False
4/11/2025 2:30:40 PM;-0.5455008;1.106509;2.10166;False
4/11/2025 2:30:40 PM;-0.543838;1.105716;2.101156;False
4/11/2025 2:30:40 PM;-0.5430999;1.104292;2.100585;False
4/11/2025 2:30:40 PM;-0.5426178;1.102804;2.100281;False
4/11/2025 2:30:40 PM;-0.5423403;1.101181;2.100084;False
4/11/2025 2:30:40 PM;-0.5424294;1.099551;2.099823;False
4/11/2025 2:30:40 PM;-0.5422802;1.097948;2.099474;False
4/11/2025 2:30:40 PM;-0.5426617;1.096231;2.099321;False
4/11/2025 2:30:40 PM;-0.5427885;1.094436;2.099186;False
4/11/2025 2:30:40 PM;-0.5427718;1.092703;2.09922;False
4/11/2025 2:30:40 PM;-0.5427532;1.090983;2.099292;False
4/11/2025 2:30:40 PM;-0.5426822;1.089364;2.099399;False
4/11/2025 2:30:40 PM;-0.5421877;1.088145;2.099774;False
4/11/2025 2:30:40 PM;-0.5415802;1.085901;2.100119;False
4/11/2025 2:30:40 PM;-0.5409489;1.085132;2.100429;False
4/11/2025 2:30:40 PM;-0.5397453;1.084058;2.100827;False
4/11/2025 2:30:40 PM;-0.5384135;1.083181;2.101285;False
4/11/2025 2:30:40 PM;-0.5368729;1.082264;2.101652;False
4/11/2025 2:30:40 PM;-0.534852;1.081361;2.102038;False
4/11/2025 2:30:40 PM;-0.5328927;1.080512;2.102408;False
4/11/2025 2:30:40 PM;-0.5309291;1.079754;2.102705;False
4/11/2025 2:30:40 PM;-0.5288234;1.079201;2.103031;False
4/11/2025 2:30:40 PM;-0.5267305;1.078646;2.103377;False
